#
#    Period, Days, T      Frequency, 1/Days, v      Periodogram, I(v)
#
  0.586000000000000E+05   0.170648464163823E-04   0.491766758884730E+00
  0.293000000000000E+05   0.341296928327645E-04   0.200198996828883E+01
  0.195333333333333E+05   0.511945392491468E-04   0.462146715315066E+01
  0.146500000000000E+05   0.682593856655290E-04   0.845712068167096E+01
  0.117200000000000E+05   0.853242320819113E-04   0.135731626277172E+02
  0.976666666666667E+04   0.102389078498294E-03   0.199235880123121E+02
  0.837142857142857E+04   0.119453924914676E-03   0.272920244252248E+02
  0.732500000000000E+04   0.136518771331058E-03   0.352551923966583E+02
  0.651111111111111E+04   0.153583617747440E-03   0.431865903500631E+02
  0.586000000000000E+04   0.170648464163823E-03   0.503093502913782E+02
  0.532727272727273E+04   0.187713310580205E-03   0.557970110821449E+02
  0.488333333333333E+04   0.204778156996587E-03   0.589087894698315E+02
  0.450769230769231E+04   0.221843003412969E-03   0.591322850137496E+02
  0.418571428571429E+04   0.238907849829352E-03   0.563014351777185E+02
  0.390666666666667E+04   0.255972696245734E-03   0.506584818228411E+02
  0.366250000000000E+04   0.273037542662116E-03   0.428382047324967E+02
  0.344705882352941E+04   0.290102389078498E-03   0.337710799838142E+02
  0.325555555555556E+04   0.307167235494881E-03   0.245233742973391E+02
  0.308421052631579E+04   0.324232081911263E-03   0.161063911713448E+02
  0.293000000000000E+04   0.341296928327645E-03   0.929952150876744E+01
  0.279047619047619E+04   0.358361774744027E-03   0.452827365055445E+01
  0.266363636363636E+04   0.375426621160410E-03   0.182280305091235E+01
  0.254782608695652E+04   0.392491467576792E-03   0.865610459690841E+00
  0.244166666666667E+04   0.409556313993174E-03   0.111031746232479E+01
  0.234400000000000E+04   0.426621160409556E-03   0.193793886118518E+01
  0.225384615384615E+04   0.443686006825939E-03   0.280854042378971E+01
  0.217037037037037E+04   0.460750853242321E-03   0.337050593374948E+01
  0.209285714285714E+04   0.477815699658703E-03   0.350405162509493E+01
  0.202068965517241E+04   0.494880546075085E-03   0.329564988925383E+01
  0.195333333333333E+04   0.511945392491468E-03   0.296003529989535E+01
  0.189032258064516E+04   0.529010238907850E-03   0.273849694354511E+01
  0.183125000000000E+04   0.546075085324232E-03   0.280682083236704E+01
  0.177575757575758E+04   0.563139931740614E-03   0.321824578961176E+01
  0.172352941176471E+04   0.580204778156997E-03   0.389422682565873E+01
  0.167428571428571E+04   0.597269624573379E-03   0.465913192886659E+01
  0.162777777777778E+04   0.614334470989761E-03   0.530244434714368E+01
  0.158378378378378E+04   0.631399317406143E-03   0.564510298407652E+01
  0.154210526315789E+04   0.648464163822526E-03   0.558979627030281E+01
  0.150256410256410E+04   0.665529010238908E-03   0.514078393797916E+01
  0.146500000000000E+04   0.682593856655290E-03   0.439204895048480E+01
  0.142926829268293E+04   0.699658703071672E-03   0.349178533648631E+01
  0.139523809523810E+04   0.716723549488055E-03   0.259731599857798E+01
  0.136279069767442E+04   0.733788395904437E-03   0.183593350472029E+01
  0.133181818181818E+04   0.750853242320819E-03   0.128141521609947E+01
  0.130222222222222E+04   0.767918088737201E-03   0.950314057760618E+00
  0.127391304347826E+04   0.784982935153584E-03   0.814196566449969E+00
  0.124680851063830E+04   0.802047781569966E-03   0.819857937997976E+00
  0.122083333333333E+04   0.819112627986348E-03   0.909175602683303E+00
  0.119591836734694E+04   0.836177474402730E-03   0.103224967826377E+01
  0.117200000000000E+04   0.853242320819113E-03   0.115199994786826E+01
  0.114901960784314E+04   0.870307167235495E-03   0.124245980654155E+01
  0.112692307692308E+04   0.887372013651877E-03   0.128502353815781E+01
  0.110566037735849E+04   0.904436860068260E-03   0.126647926600124E+01
  0.108518518518519E+04   0.921501706484642E-03   0.118097480177342E+01
  0.106545454545455E+04   0.938566552901024E-03   0.103438399996119E+01
  0.104642857142857E+04   0.955631399317406E-03   0.848208824586563E+00
  0.102807017543860E+04   0.972696245733788E-03   0.659211065041877E+00
  0.101034482758621E+04   0.989761092150171E-03   0.512987285872265E+00
  0.993220338983051E+03   0.100682593856655E-02   0.452196905957446E+00
  0.976666666666667E+03   0.102389078498294E-02   0.503044852862419E+00
  0.960655737704918E+03   0.104095563139932E-02   0.664672651696607E+00
  0.945161290322581E+03   0.105802047781570E-02   0.906135808055526E+00
  0.930158730158730E+03   0.107508532423208E-02   0.117234085417241E+01
  0.915625000000000E+03   0.109215017064846E-02   0.139839747604993E+01
  0.901538461538462E+03   0.110921501706485E-02   0.152704197301498E+01
  0.887878787878788E+03   0.112627986348123E-02   0.152439820857320E+01
  0.874626865671642E+03   0.114334470989761E-02   0.138867593079571E+01
  0.861764705882353E+03   0.116040955631399E-02   0.114909197450021E+01
  0.849275362318841E+03   0.117747440273038E-02   0.855930269587974E+00
  0.837142857142857E+03   0.119453924914676E-02   0.565454054195257E+00
  0.825352112676056E+03   0.121160409556314E-02   0.324488034962089E+00
  0.813888888888889E+03   0.122866894197952E-02   0.159868848957464E+00
