#
#    Period, Days, T      Frequency, 1/Days, v      Periodogram, I(v)
#
  0.586000000000000E+05   0.170648464163823E-04   0.466637718936693E+05
  0.293000000000000E+05   0.341296928327645E-04   0.196288747972968E+06
  0.195333333333333E+05   0.511945392491468E-04   0.473678306874167E+06
  0.146500000000000E+05   0.682593856655290E-04   0.908232425581965E+06
  0.117200000000000E+05   0.853242320819113E-04   0.151962861184181E+07
  0.976666666666667E+04   0.102389078498294E-03   0.230429859307528E+07
  0.837142857142857E+04   0.119453924914676E-03   0.322668217167031E+07
  0.732500000000000E+04   0.136518771331058E-03   0.421844030243676E+07
  0.651111111111111E+04   0.153583617747440E-03   0.518646821864361E+07
  0.586000000000000E+04   0.170648464163823E-03   0.602834088369033E+07
  0.532727272727273E+04   0.187713310580205E-03   0.665188073930314E+07
  0.488333333333333E+04   0.204778156996587E-03   0.699387603307464E+07
  0.450769230769231E+04   0.221843003412969E-03   0.703390296983415E+07
  0.418571428571429E+04   0.238907849829352E-03   0.679945615029607E+07
  0.390666666666667E+04   0.255972696245734E-03   0.636127546113010E+07
  0.366250000000000E+04   0.273037542662116E-03   0.581959480035239E+07
  0.344705882352941E+04   0.290102389078498E-03   0.528474254156011E+07
  0.325555555555556E+04   0.307167235494881E-03   0.485601181788199E+07
  0.308421052631579E+04   0.324232081911263E-03   0.460364557334127E+07
  0.293000000000000E+04   0.341296928327645E-03   0.455765208905453E+07
  0.279047619047619E+04   0.358361774744027E-03   0.470504299262598E+07
  0.266363636363636E+04   0.375426621160410E-03   0.499598883750247E+07
  0.254782608695652E+04   0.392491467576792E-03   0.535648121219868E+07
  0.244166666666667E+04   0.409556313993174E-03   0.570453675405516E+07
  0.234400000000000E+04   0.426621160409556E-03   0.596613043612272E+07
  0.225384615384615E+04   0.443686006825939E-03   0.608790580480486E+07
  0.217037037037037E+04   0.460750853242321E-03   0.604437981967594E+07
  0.209285714285714E+04   0.477815699658703E-03   0.583908698544459E+07
  0.202068965517241E+04   0.494880546075085E-03   0.550062388922186E+07
  0.195333333333333E+04   0.511945392491468E-03   0.507473937402498E+07
  0.189032258064516E+04   0.529010238907850E-03   0.461548553388097E+07
  0.183125000000000E+04   0.546075085324232E-03   0.417616722309911E+07
  0.177575757575758E+04   0.563139931740614E-03   0.380251251208294E+07
  0.172352941176471E+04   0.580204778156997E-03   0.352801868267671E+07
  0.167428571428571E+04   0.597269624573379E-03   0.337174681153991E+07
  0.162777777777778E+04   0.614334470989761E-03   0.333796333530830E+07
  0.158378378378378E+04   0.631399317406143E-03   0.341725653830596E+07
  0.154210526315789E+04   0.648464163822526E-03   0.358853256715618E+07
  0.150256410256410E+04   0.665529010238908E-03   0.382181172230560E+07
  0.146500000000000E+04   0.682593856655290E-03   0.408164998065904E+07
  0.142926829268293E+04   0.699658703071672E-03   0.433129761619100E+07
  0.139523809523810E+04   0.716723549488055E-03   0.453732166166966E+07
  0.136279069767442E+04   0.733788395904437E-03   0.467398629300985E+07
  0.133181818181818E+04   0.750853242320819E-03   0.472719163618646E+07
  0.130222222222222E+04   0.767918088737201E-03   0.469663398248042E+07
  0.127391304347826E+04   0.784982935153584E-03   0.459582948157052E+07
  0.124680851063830E+04   0.802047781569966E-03   0.444961470875842E+07
  0.122083333333333E+04   0.819112627986348E-03   0.428946133146478E+07
  0.119591836734694E+04   0.836177474402730E-03   0.414736020751301E+07
  0.117200000000000E+04   0.853242320819113E-03   0.404959047397026E+07
  0.114901960784314E+04   0.870307167235495E-03   0.401160458330095E+07
  0.112692307692308E+04   0.887372013651877E-03   0.403520968263080E+07
  0.110566037735849E+04   0.904436860068260E-03   0.410851792467904E+07
  0.108518518518519E+04   0.921501706484642E-03   0.420883966870020E+07
  0.106545454545455E+04   0.938566552901024E-03   0.430739849946245E+07
  0.104642857142857E+04   0.955631399317406E-03   0.437545957591685E+07
  0.102807017543860E+04   0.972696245733788E-03   0.438970172736806E+07
  0.101034482758621E+04   0.989761092150171E-03   0.433635956229816E+07
  0.993220338983051E+03   0.100682593856655E-02   0.421357964462974E+07
  0.976666666666667E+03   0.102389078498294E-02   0.403086797963751E+07
  0.960655737704918E+03   0.104095563139932E-02   0.380712480926647E+07
  0.945161290322581E+03   0.105802047781570E-02   0.356712911105304E+07
  0.930158730158730E+03   0.107508532423208E-02   0.333708502712463E+07
  0.915625000000000E+03   0.109215017064846E-02   0.314111314961018E+07
  0.901538461538462E+03   0.110921501706485E-02   0.299766435271845E+07
  0.887878787878788E+03   0.112627986348123E-02   0.291736130184810E+07
  0.874626865671642E+03   0.114334470989761E-02   0.290181040892238E+07
  0.861764705882353E+03   0.116040955631399E-02   0.294356474457698E+07
  0.849275362318841E+03   0.117747440273038E-02   0.302715103946856E+07
  0.837142857142857E+03   0.119453924914676E-02   0.313097795088734E+07
  0.825352112676056E+03   0.121160409556314E-02   0.323017091754739E+07
  0.813888888888889E+03   0.122866894197952E-02   0.329989041983632E+07
  0.802739726027397E+03   0.124573378839590E-02   0.331897023368276E+07
  0.791891891891892E+03   0.126279863481229E-02   0.327321849194921E+07
  0.781333333333333E+03   0.127986348122867E-02   0.315793623262673E+07
  0.771052631578947E+03   0.129692832764505E-02   0.297904315203567E+07
  0.761038961038961E+03   0.131399317406143E-02   0.275244503120380E+07
  0.751282051282051E+03   0.133105802047782E-02   0.250171199907976E+07
  0.741772151898734E+03   0.134812286689420E-02   0.225421322575109E+07
  0.732500000000000E+03   0.136518771331058E-02   0.203657556626574E+07
  0.723456790123457E+03   0.138225255972696E-02   0.187017932931343E+07
  0.714634146341463E+03   0.139931740614334E-02   0.176772974851059E+07
  0.706024096385542E+03   0.141638225255973E-02   0.173150260616611E+07
  0.697619047619048E+03   0.143344709897611E-02   0.175354931014282E+07
  0.689411764705882E+03   0.145051194539249E-02   0.181799989013385E+07
  0.681395348837209E+03   0.146757679180887E-02   0.190443295054443E+07
  0.673563218390805E+03   0.148464163822526E-02   0.199217141136108E+07
  0.665909090909091E+03   0.150170648464164E-02   0.206403037834556E+07
  0.658426966292135E+03   0.151877133105802E-02   0.210917799734949E+07
